Date,gross,net,equity
2021-01-04,,,
2021-01-05,0.0,0.0,1.0
2021-01-06,0.0,0.0,1.0
2021-01-11,0.0,0.0,1.0
2021-01-12,0.00021140240533923382,1.1402405339233814e-05,1.0000114024053393
2021-01-13,0.0026929177090406764,0.0026929177090406764,1.0027043508201192
2021-01-14,-0.0,-0.0002,1.0025038099499552
2021-01-15,-0.0,-0.0,1.0025038099499552
2021-01-19,0.0,0.0,1.0025038099499552
2021-01-20,0.0,0.0,1.0025038099499552
2021-01-22,-0.0,-0.0,1.0025038099499552
2021-01-25,0.0039438299854692715,0.0037438299854692715,1.006257013774193
2021-01-26,-0.0015605653786836537,-0.0015605653786836537,1.0046866839164394
2021-01-27,-0.0,-0.0002,1.0044857465796562
2021-01-28,0.0,0.0,1.0044857465796562
2021-01-29,-0.0,-0.0,1.0044857465796562
2021-02-01,0.01664551698916439,0.01644551698916439,1.0210050339904053
2021-02-02,0.01414021450180969,0.01414021450180969,1.035442264178457
2021-02-09,0.0,-0.0002,1.0352351757256215
2021-02-10,-0.0004356723436599319,-0.0006356723436599319,1.0345771053552288
2021-02-11,0.0016150133148560286,0.0016150133148560286,1.0362479611556228
2021-02-12,0.004939843961632828,0.004939843961632828,1.0413668643892917
2021-02-16,-0.0,-0.0002,1.0411585910164138
2021-02-17,0.00022941060584913409,2.9410605849134076e-05,1.0411892121213606
2021-02-18,-0.0,-0.0002,1.0409809742789364
2021-02-19,-0.0017659546174357832,-0.0019659546174357833,1.03893445292589
2021-02-22,-0.0,-0.0002,1.0387266660353047
2021-02-23,0.0,0.0,1.0387266660353047
2021-02-24,0.0,0.0,1.0387266660353047
2021-02-25,-0.0,-0.0,1.0387266660353047
2021-02-26,-0.0,-0.0,1.0387266660353047
2021-03-01,0.0,0.0,1.0387266660353047
2021-03-02,-0.0,-0.0,1.0387266660353047
2021-03-03,-0.0,-0.0,1.0387266660353047
2021-03-04,-0.012374748000454683,-0.012574748000454683,1.0256649399685582
2021-03-05,0.0,-0.0002,1.0254598069805645
2021-03-08,-0.0,-0.0,1.0254598069805645
2021-03-09,0.014277562948887823,0.014077562948887823,1.0398957819648877
2021-03-10,0.0,-0.0002,1.0396878028084948
2021-03-16,0.0,0.0,1.0396878028084948
2021-03-17,0.0034099463203298708,0.0032099463203298707,1.0430251448454118
2021-03-18,-0.0,-0.0002,1.0428165398164426
2021-03-19,-0.0,-0.0,1.0428165398164426
2021-03-22,0.0,0.0,1.0428165398164426
2021-03-23,-0.0,-0.0,1.0428165398164426
2021-03-24,-0.005083485507858088,-0.005283485507858087,1.0373068337409677
2021-03-25,0.005625662073773352,0.005625662073773352,1.0431423714544101
2021-03-26,0.0,-0.0002,1.0429337429801193
2021-03-29,-0.0,-0.0,1.0429337429801193
2021-03-30,-0.0,-0.0,1.0429337429801193
2021-03-31,0.0,0.0,1.0429337429801193
2021-04-01,0.0,0.0,1.0429337429801193
2021-04-06,0.0,0.0,1.0429337429801193
2021-04-07,0.0,0.0,1.0429337429801193
2021-04-08,0.0,0.0,1.0429337429801193
2021-04-14,0.0,0.0,1.0429337429801193
2021-04-15,0.010742474669196866,0.010542474669196866,1.0539288455471378
2021-04-16,0.0,-0.0002,1.0537180597780285
2021-04-19,-0.0,-0.0,1.0537180597780285
2021-04-20,-0.0,-0.0,1.0537180597780285
2021-04-21,0.0,0.0,1.0537180597780285
2021-04-22,-0.0,-0.0,1.0537180597780285
2021-04-23,0.010842234688751784,0.010642234688751783,1.0649319746659625
2021-04-26,0.0,-0.0002,1.0647189882710293
2021-04-27,-0.0,-0.0,1.0647189882710293
2021-04-28,-0.0,-0.0,1.0647189882710293
2021-04-29,0.0,0.0,1.0647189882710293
2021-04-30,-0.0,-0.0,1.0647189882710293
2021-05-03,0.0,0.0,1.0647189882710293
2021-05-04,-0.0,-0.0,1.0647189882710293
2021-05-05,0.0,0.0,1.0647189882710293
2021-05-06,0.0,0.0,1.0647189882710293
2021-05-10,-0.0,-0.0,1.0647189882710293
2021-05-11,-0.0,-0.0,1.0647189882710293
2021-05-12,-0.0,-0.0,1.0647189882710293
2021-05-13,0.0,0.0,1.0647189882710293
2021-05-14,0.0,0.0,1.0647189882710293
2021-05-17,-0.0,-0.0,1.0647189882710293
2021-05-18,-0.0,-0.0,1.0647189882710293
2021-05-19,-0.0,-0.0,1.0647189882710293
2021-05-20,0.0,0.0,1.0647189882710293
2021-05-21,-0.0,-0.0,1.0647189882710293
2021-05-24,0.0,0.0,1.0647189882710293
2021-05-25,-0.0,-0.0,1.0647189882710293
2021-05-26,0.001984538975523531,0.0017845389755235309,1.0666190208035788
2021-05-27,0.000524942237747128,0.000524942237747128,1.067178934179183
2021-06-01,0.0009065244577570741,0.0009065244577570741,1.0681463579838197
2021-06-02,0.0,-0.0002,1.067932728712223
2021-06-03,-0.0,-0.0,1.067932728712223
2021-06-04,0.0,0.0,1.067932728712223
2021-06-07,-0.0,-0.0,1.067932728712223
2021-06-08,0.00021339646523732547,1.3396465237325463e-05,1.0679470352358988
2021-06-09,-0.0,-0.0002,1.0677334458288517
2021-06-10,0.0046483379683666115,0.004448337968366612,1.0724830850560272
2021-06-11,0.0,-0.0002,1.072268588439016
2021-06-15,0.0,0.0,1.072268588439016
2021-06-16,-0.0,-0.0,1.072268588439016
2021-06-17,-0.0,-0.0,1.072268588439016
2021-06-18,-0.01349040558991299,-0.013690405589912991,1.0575887965619624
2021-06-21,0.0,-0.0002,1.05737727880265
2021-06-22,0.0,0.0,1.05737727880265
2021-06-23,-0.0,-0.0,1.05737727880265
2021-06-24,0.0,0.0,1.05737727880265
2021-06-25,0.003552077727029923,0.003352077727029923,1.060921689627992
2021-07-06,0.0,-0.0002,1.0607095052900666
2021-07-07,0.0035341361256153725,0.0033341361256153724,1.0642460551704378
2021-07-08,-0.008148180061392396,-0.008148180061392396,1.0555743866832825
2021-07-09,0.0,-0.0002,1.0553632718059458
2021-07-12,0.0035817500429222715,0.0033817500429222714,1.058932246595674
2021-07-13,-0.0034087819998409596,-0.0034087819998409596,1.0553225774144277
2021-07-14,0.0014921683650046536,0.0014921683650046536,1.0568972963793206
2021-07-15,-0.0034155679704038766,-0.0034155679704038766,1.053287391825801
2021-07-16,-0.0,-0.0002,1.0530767343474359
2021-07-19,-0.014768025147798514,-0.014968025147798514,1.037314255305162
2021-07-20,0.0,-0.0002,1.0371067924541009
2021-07-21,0.0,0.0,1.0371067924541009
2021-07-27,0.0,0.0,1.0371067924541009
2021-07-28,-0.0004099139726521095,-0.0006099139726521095,1.0364742465302508
2021-07-29,0.0,-0.0002,1.0362669516809448
2021-07-30,-0.0,-0.0,1.0362669516809448
2021-08-02,-0.0,-0.0,1.0362669516809448
2021-08-03,0.008135560056193203,0.007935560056193202,1.0444903103102572
2021-08-04,-0.0,-0.0002,1.0442814122481952
2021-08-05,0.0,0.0,1.0442814122481952
2021-08-06,0.0,0.0,1.0442814122481952
2021-08-09,-0.0,-0.0,1.0442814122481952
2021-08-10,0.0,0.0,1.0442814122481952
2021-08-11,0.0,0.0,1.0442814122481952
2021-08-17,0.0,0.0,1.0442814122481952
2021-08-18,-0.0,-0.0,1.0442814122481952
2021-08-19,0.0,0.0,1.0442814122481952
2021-08-20,0.0,0.0,1.0442814122481952
2021-08-26,0.0,0.0,1.0442814122481952
2021-08-27,0.0,0.0,1.0442814122481952
2021-08-30,0.0,0.0,1.0442814122481952
2021-08-31,-0.0,-0.0,1.0442814122481952
2021-09-01,0.0,0.0,1.0442814122481952
2021-09-02,0.003076524993271379,0.002876524993271379,1.0472853138305358
2021-09-03,-0.0,-0.0002,1.0470758567677698
2021-09-07,-0.0,-0.0,1.0470758567677698
2021-09-08,-0.0,-0.0,1.0470758567677698
2021-09-09,-0.0,-0.0,1.0470758567677698
2021-09-10,-0.007884596881186257,-0.008084596881186257,1.0386106705617797
2021-09-13,0.0,-0.0002,1.0384029484276673
2021-09-14,-0.0,-0.0,1.0384029484276673
2021-09-15,0.0,0.0,1.0384029484276673
2021-09-16,-0.001585275226193672,-0.001785275226193672,1.036549113369033
2021-09-17,-0.0,-0.0002,1.0363418035463592
2021-09-20,-0.0,-0.0,1.0363418035463592
2021-09-21,-0.0009446697370788515,-0.0011446697370788516,1.03515553444657
2021-09-22,0.009754812436915117,0.009754812436915117,1.0452532825281309
2021-09-23,0.0,-0.0002,1.0450442318716253
2021-09-27,-0.0,-0.0,1.0450442318716253
2021-09-28,-0.0,-0.0,1.0450442318716253
2021-09-29,0.0016830830652176942,0.0014830830652176941,1.0465941192743176
2021-09-30,-0.01222238064961989,-0.01222238064961989,1.0338022475628932
2021-10-01,0.0118843036054741,0.0118843036054741,1.0460882673409522
2021-10-04,-0.012895990132741453,-0.012895990132741453,1.0325979233673466
2021-10-05,0.010404944404518224,0.010404944404518224,1.0433420473522048
2021-10-06,0.004155967745337552,0.004155967745337552,1.047678143248355
2021-10-08,0.006806030397522811,0.006806030397522811,1.0548086725381236
2021-10-11,-0.007239736408187758,-0.007239736408187758,1.0471721357878772
2021-10-12,-0.0024614394779662874,-0.0024614394779662874,1.0445945849526226
2021-10-13,0.0,-0.0002,1.044385666035632
2021-10-14,0.016820578811335807,0.016620578811335808,1.0617439603074068
2021-10-22,0.0,-0.0002,1.0615316115153453
2021-10-25,0.005362668288660721,0.005162668288660722,1.0670119471035264
2021-10-26,0.0,-0.0002,1.0667985447141057
2021-10-27,-0.0,-0.0,1.0667985447141057
