,0
vix_ret_1,0.0014042126379137266
vol_3,0.00020060180541622285
trend_up,0.0
rsi_5,-0.0006018054162487463
ret_10,-0.0008024072216650024
vol_5,-0.0015045135406218824
rsi_10,-0.002407221664995002
gap_sma_5,-0.002607823470411241
vol_10,-0.002607823470411247
ret_5,-0.0036108324974925055
rsi_3,-0.0038114343029087396
vix_level,-0.0040120361083249845
rsi_100,-0.004012036108325012
rsi_20,-0.004112337011033124
gap_sma_20,-0.004212637913741241
ret_50,-0.0044132397191574855
rsi_50,-0.005215646940822477
gap_sma_10,-0.005215646940822494
vix_ret_5,-0.005315947843530599
ret_20,-0.006018054162487468
vol_50,-0.006419257773319986
gap_sma_50,-0.006820461384152471
vol_20,-0.006820461384152476
vol_100,-0.007321965897693095
gap_sma_100,-0.007422266800401206
ret_100,-0.008525576730190587
gap_sma_200,-0.00862587763289871
ret_1,-0.009127382146439322
ret_3,-0.010431293881644954
