symbol,date,price,setup,score,atr_pct,pct_of_100d_high,entry,stop,risk_per_share,atr14,pivot,shares_for_plan,position_value,capital,risk_pct,ema20,ema50,sma200,prior_52w_high,vol_x_avg20,neckline,left_shoulder,head,right_shoulder
AMD,2025-10-08,235.55999755859375,breakout,11.371,,,236.11,210.7,25.41,11.46,211.51,4,944.42,25000.0,0.005,,,,211.50999450683594,2.5121584365938037,,,,
DELL,2025-10-08,164.52999877929688,breakout,9.054,,,166.27,154.0,12.27,6.85,150.87,10,1662.66,25000.0,0.005,,,,150.8699951171875,2.356486396236101,,,,
FFIV,2025-10-08,342.5799865722656,breakout,2.388,,,344.18,332.15,12.03,7.14,334.59,10,3441.84,25000.0,0.005,,,,334.5899963378906,1.5147150504116775,,,,
FE,2025-10-08,46.68000030517578,breakout,0.582,,,47.4,46.46,0.94,0.69,46.41,133,6303.85,25000.0,0.005,,,,46.40999984741211,1.5068338020736651,,,,
DELL,2025-10-08,164.52999877929688,inv_hs,6.354,,,166.27,127.12,39.15,6.85,154.7,3,498.8,25000.0,0.005,,,,,,154.6999969482422,129.7115785277558,123.5716512445857,131.5814015778527
PWR,2025-10-08,443.45001220703125,inv_hs,2.086,,,444.41,373.4,71.01,12.77,434.39,1,444.41,25000.0,0.005,,,,,,434.3900146484375,379.037729201509,374.82529267216194,379.9971053167905
CSCO,2025-10-08,70.33000183105469,inv_hs,1.078,,,70.83,66.85,3.98,1.12,69.58,31,2195.75,25000.0,0.005,,,,,,69.58000183105469,67.27113443393324,67.10577358828726,67.53279663638936
LVS,2025-10-08,53.27000045776367,pullback,100.0,,,54.23,51.54,2.69,1.67,54.18,46,2494.77,25000.0,0.005,53.38608916796205,52.667533697460165,45.7897500705719,,,,,,
MSI,2025-10-08,462.260009765625,pullback,100.0,,,465.92,453.05,12.87,6.91,465.45,9,4193.24,25000.0,0.005,461.89160707289415,458.26842498515555,440.11554977416995,,,,,,
CBOE,2025-10-08,241.25999450683594,pullback,99.998,,,241.68,234.72,6.96,4.76,241.44,17,4108.58,25000.0,0.005,240.06976114232788,239.12975810101563,223.1200499725342,,,,,,
ABT,2025-10-08,134.27000427246094,pullback,99.997,,,134.85,131.93,2.92,2.67,134.72,42,5663.9,25000.0,0.005,133.53891671761542,132.6621012600301,129.63555030822755,,,,,,
AMZN,2025-10-08,225.22000122070312,pullback,99.997,,,226.96,216.03,10.93,4.6,226.73,11,2496.52,25000.0,0.005,223.98270109693945,224.45784037558133,214.5002001953125,,,,,,
DAY,2025-10-08,68.61000061035156,vcp,101.987,0.0028265391791415244,0.9833739990178124,69.29,68.39,0.9,0.19,69.22,138,9561.91,25000.0,0.005,,,,,,,,,
AAPL,2025-10-08,258.05999755859375,vcp,84.089,0.017836397080251525,1.0,259.5,251.71,7.79,4.6,259.24,16,4151.99,25000.0,0.005,,,,,,,,,
GRMN,2025-10-08,259.7699890136719,vcp,84.056,0.0161104050329713,1.0,260.84,235.0,25.84,4.18,260.58,4,1043.36,25000.0,0.005,,,,,,,,,
RL,2025-10-08,329.0299987792969,vcp,82.324,0.023024387257800403,1.0,330.08,299.98,30.1,7.58,329.75,4,1320.32,25000.0,0.005,,,,,,,,,
PH,2025-10-08,753.3400268554688,vcp,81.509,0.01726501402602049,0.9787831714666289,772.91,738.38,34.53,13.01,772.14,3,2318.74,25000.0,0.005,,,,,,,,,
GPN,2025-10-08,88.52999877929688,vcp,80.795,0.02461633640633217,0.9835573456081736,89.08,81.98,7.1,2.18,88.99,17,1514.34,25000.0,0.005,,,,,,,,,
URI,2025-10-08,994.3699951171875,vcp,80.267,0.019803641992297137,1.0,1005.92,913.59,92.33,19.69,1004.92,1,1005.92,25000.0,0.005,,,,,,,,,
IVZ,2025-10-08,24.0,vcp,79.873,0.022797612916855586,0.9946125501331152,24.56,21.9,2.66,0.55,24.54,46,1129.97,25000.0,0.005,,,,,,,,,
MPWR,2025-10-08,980.9000244140625,vcp,79.843,0.03279276647147827,1.0,987.62,872.29,115.33,32.17,986.63,1,987.62,25000.0,0.005,,,,,,,,,
UNH,2025-10-08,369.9200134277344,vcp,79.805,0.023043596786089388,1.0,375.0,341.3,33.7,8.52,374.63,3,1125.01,25000.0,0.005,,,,,,,,,
PNR,2025-10-08,111.80000305175781,vcp,79.031,0.016336560016650913,0.9929834504678197,114.06,107.58,6.48,1.83,113.95,19,2167.21,25000.0,0.005,,,,,,,,,
NVDA,2025-10-08,189.11000061035156,vcp,78.702,0.028369737804423513,1.0,191.24,173.13,18.11,5.37,191.05,6,1147.45,25000.0,0.005,,,,,,,,,
