symbol,date,price,pivot,entry,stop,shares,position_value,proba
PPL,2025-10-08,37.290000915527344,37.4900016784668,37.64,37.02,200,7527.52,0.9576
CHRW,2025-10-08,134.0399932861328,137.08999633789062,137.23,130.55,18,2470.09,0.9574
HOOD,2025-10-08,150.8699951171875,148.6699981689453,151.5,144.14,16,2424.02,0.9474
TEL,2025-10-08,224.42999267578125,222.9600067138672,225.5,220.7,26,5862.88,0.9396
EXC,2025-10-08,46.619998931884766,47.369998931884766,47.42,46.06,92,4362.4,0.9395
DASH,2025-10-08,281.04998779296875,281.739990234375,282.02,273.35,14,3948.3,0.9366
DELL,2025-10-08,164.52999877929688,150.8699951171875,166.27,154.0,10,1662.66,0.9366
TER,2025-10-08,144.60000610351562,147.8699951171875,148.02,140.2,15,2220.27,0.8921
SO,2025-10-08,96.18000030517578,96.41999816894531,96.89,95.38,82,7944.72,0.8804
IBM,2025-10-08,289.4599914550781,294.7799987792969,295.07,286.47,14,4131.05,0.8799
HII,2025-10-08,290.8299865722656,288.489990234375,291.12,283.71,16,4657.93,0.8762
J,2025-10-08,157.36000061035156,155.30999755859375,157.6,154.54,40,6303.9,0.8746
CAT,2025-10-08,502.1199951171875,497.8500061035156,509.99,489.34,6,3059.94,0.8661
HPE,2025-10-08,26.079999923706055,25.239999771118164,26.47,24.85,77,2037.92,0.8652
ES,2025-10-08,73.48999786376953,72.83999633789062,74.53,72.6,64,4770.21,0.8651
EVRG,2025-10-08,77.83000183105469,77.69000244140625,78.06,76.77,96,7493.57,0.8511
L,2025-10-08,103.05000305175781,102.98999786376953,103.57,102.04,81,8389.45,0.8469
MLM,2025-10-08,636.3099975585938,636.1099853515625,639.51,625.56,8,5116.07,0.8365
TPR,2025-10-08,116.80999755859375,116.13999938964844,116.95,113.36,34,3976.19,0.8281
BLK,2025-10-08,1165.0,1179.27001953125,1180.45,1155.04,4,4721.8,0.8237
CMI,2025-10-08,436.3500061035156,438.8800048828125,439.32,430.13,13,5711.15,0.8193
HSY,2025-10-08,195.55999755859375,195.17999267578125,196.79,192.04,26,5116.45,0.819
MPWR,2025-10-08,980.9000244140625,968.0999755859375,984.46,945.99,3,2953.39,0.8147
CSX,2025-10-08,35.95000076293945,36.880001068115234,36.92,35.6,94,3470.19,0.8087
MU,2025-10-08,196.5399932861328,190.9600067138672,197.15,187.64,13,2562.91,0.7872
GLW,2025-10-08,87.06999969482422,85.33999633789062,87.16,84.76,52,4532.17,0.7793
ATO,2025-10-08,175.75,174.91000366210938,176.29,173.22,40,7051.44,0.7792
CVS,2025-10-08,76.93000030517578,77.48999786376953,78.0,75.63,52,4055.89,0.7614
CEG,2025-10-08,371.0,364.1000061035156,376.88,359.67,7,2638.13,0.7567
PH,2025-10-08,753.3400268554688,769.6699829101562,770.44,747.52,5,3852.2,0.7484
ADM,2025-10-08,62.220001220703125,64.20999908447266,64.27,60.81,36,2313.87,0.7263
FE,2025-10-08,46.68000030517578,46.40999984741211,47.4,46.46,133,6303.85,0.71
MNST,2025-10-08,68.7300033569336,68.1500015258789,69.27,67.86,88,6095.69,0.7091
GE,2025-10-08,302.55999755859375,305.6300048828125,305.94,298.4,16,4894.97,0.7078
URI,2025-10-08,994.3699951171875,988.5900268554688,1005.92,983.26,5,5029.62,0.7046
ULTA,2025-10-08,565.8099975585938,566.9099731445312,572.8,556.86,7,4009.62,0.6981
D,2025-10-08,60.56999969482422,62.099998474121094,62.16,60.11,60,3729.73,0.6975
NI,2025-10-08,43.900001525878906,44.16999816894531,44.21,43.31,138,6101.56,0.6971
TRV,2025-10-08,282.760009765625,284.9700012207031,288.24,281.86,19,5476.52,0.674
JNJ,2025-10-08,189.69000244140625,188.88999938964844,190.41,186.9,35,6664.36,0.6715
CMS,2025-10-08,73.19000244140625,75.51000213623047,75.59,72.99,48,3628.1,0.6681
IBKR,2025-10-08,72.05000305175781,70.94999694824219,72.37,69.35,41,2967.26,0.6618
HIG,2025-10-08,133.00999450683594,134.6999969482422,135.13,132.87,55,7432.42,0.6529
PLTR,2025-10-08,183.55999755859375,187.0500030517578,187.24,179.16,15,2808.56,0.6513
PANW,2025-10-08,217.7899932861328,212.5800018310547,218.16,212.26,21,4581.32,0.6504
